stock_id,year,sector,catch_t
jurel_chile,2004,Artesanal,54118
jurel_chile,2004,Industrial,1397481
jurel_chile,2005,Artesanal,36544
jurel_chile,2005,Industrial,1393874
jurel_chile,2006,Artesanal,44378
jurel_chile,2006,Industrial,1335563
jurel_chile,2007,Artesanal,48336
jurel_chile,2007,Industrial,1254448
jurel_chile,2008,Artesanal,42440
jurel_chile,2008,Industrial,853668
jurel_chile,2009,Artesanal,45082
jurel_chile,2009,Industrial,789845
jurel_chile,2010,Artesanal,71158
jurel_chile,2010,Industrial,393650
jurel_chile,2011,Artesanal,21282
jurel_chile,2011,Industrial,226013
jurel_chile,2012,Artesanal,8678
jurel_chile,2012,Industrial,218782
jurel_chile,2013,Artesanal,14521
jurel_chile,2013,Industrial,216839
jurel_chile,2014,Artesanal,19094
jurel_chile,2014,Industrial,252479
jurel_chile,2015,Artesanal,32532
jurel_chile,2015,Industrial,256217
jurel_chile,2016,Artesanal,33116
jurel_chile,2016,Industrial,290141
jurel_chile,2017,Artesanal,29413
jurel_chile,2017,Industrial,315315
jurel_chile,2018,Artesanal,25168
jurel_chile,2018,Industrial,403282
jurel_chile,2019,Artesanal,25331
jurel_chile,2019,Industrial,418974
jurel_chile,2020,Artesanal,31577
jurel_chile,2020,Industrial,524917
jurel_chile,2021,Artesanal,59054
jurel_chile,2021,Industrial,573909
jurel_chile,2022,Artesanal,80863
jurel_chile,2022,Industrial,641383
jurel_chile,2023,Artesanal,112213
jurel_chile,2023,Industrial,740618
sardina_comun_cs,2000,Artesanal,290447
sardina_comun_cs,2000,Industrial,432018
sardina_comun_cs,2001,Artesanal,275561
sardina_comun_cs,2001,Industrial,48901
sardina_comun_cs,2002,Artesanal,310495
sardina_comun_cs,2002,Industrial,36588
sardina_comun_cs,2003,Artesanal,263542
sardina_comun_cs,2003,Industrial,40310
sardina_comun_cs,2004,Artesanal,284837
sardina_comun_cs,2004,Industrial,71109
sardina_comun_cs,2005,Artesanal,229341
sardina_comun_cs,2005,Industrial,60037
sardina_comun_cs,2006,Artesanal,358716
sardina_comun_cs,2006,Industrial,81341
sardina_comun_cs,2007,Artesanal,186210
sardina_comun_cs,2007,Industrial,95151
sardina_comun_cs,2008,Artesanal,572136
sardina_comun_cs,2008,Industrial,222952
sardina_comun_cs,2009,Artesanal,603959
sardina_comun_cs,2009,Industrial,251277
sardina_comun_cs,2010,Artesanal,535015
sardina_comun_cs,2010,Industrial,214498
sardina_comun_cs,2011,Artesanal,684504
sardina_comun_cs,2011,Industrial,202221
sardina_comun_cs,2012,Artesanal,645524
sardina_comun_cs,2012,Industrial,202934
sardina_comun_cs,2013,Artesanal,182686
sardina_comun_cs,2013,Industrial,54281
sardina_comun_cs,2014,Artesanal,468071
sardina_comun_cs,2014,Industrial,75207
sardina_comun_cs,2015,Artesanal,357472
sardina_comun_cs,2015,Industrial,78389
sardina_comun_cs,2016,Artesanal,196025
sardina_comun_cs,2016,Industrial,84377
sardina_comun_cs,2017,Artesanal,321589
sardina_comun_cs,2017,Industrial,22673
sardina_comun_cs,2018,Artesanal,335296
sardina_comun_cs,2018,Industrial,10133
sardina_comun_cs,2019,Artesanal,316605
sardina_comun_cs,2019,Industrial,3542
sardina_comun_cs,2020,Artesanal,256316
sardina_comun_cs,2020,Industrial,7537
sardina_comun_cs,2021,Artesanal,344115
sardina_comun_cs,2022,Artesanal,218488
sardina_comun_cs,2022,Industrial,5447
sardina_comun_cs,2023,Artesanal,409394
sardina_comun_cs,2023,Industrial,961
