anio,nm_recurso,nm_linea,clase_industria,mp_sin_elaborar,mp_semi_elaborada,mp_total,produccion
2021,SARDINA COMUN,HARINA,ANIMAL,339907.681,0,339907.681,69380.108
2021,SARDINA ESPAÑOLA,ACEITE,ANIMAL,0.0,0,0.0,227.876
2021,SARDINA ESPAÑOLA,CONGELADO,HUMANO,392.298,0,392.298,379.54
2021,SARDINA ESPAÑOLA,HARINA,ANIMAL,909.4830000000001,0,909.4830000000001,200.836
2022,ANCHOVETA,ACEITE,ANIMAL,0.0,0,0.0,36673.55
2022,ANCHOVETA,CONGELADO,HUMANO,675.8720000000001,0,675.8720000000001,5.3
2022,ANCHOVETA,CONSERVA,HUMANO,0.0,0,0.0,13.013
2022,ANCHOVETA,HARINA,ANIMAL,737400.209,0,737400.209,160571.207
2022,JUREL,ACEITE,ANIMAL,0.0,0,0.0,17052.272
2022,JUREL,CONGELADO,HUMANO,339211.033,0,339211.033,325048.037
2022,JUREL,CONSERVA,HUMANO,89666.98999999999,0,89666.98999999999,36021.057
2022,JUREL,FRESCO ENFRIADO,HUMANO,4665.997,0,4665.997,4069.011
2022,JUREL,HARINA,ANIMAL,283690.687,0,283690.687,85082.238
2022,SARDINA COMUN,ACEITE,ANIMAL,0.0,0,0.0,19649.852
2022,SARDINA COMUN,CONGELADO,HUMANO,316.422,0,316.422,15.175
2022,SARDINA COMUN,HARINA,ANIMAL,222228.58299999998,0,222228.58299999998,46975.454
2022,SARDINA ESPAÑOLA,ACEITE,ANIMAL,0.0,0,0.0,34.925
2022,SARDINA ESPAÑOLA,CONGELADO,HUMANO,130.672,0,130.672,124.88
2022,SARDINA ESPAÑOLA,HARINA,ANIMAL,2545.002,0,2545.002,553.601
2023,ANCHOVETA,ACEITE,ANIMAL,0.0,0,0.0,22676.18
2023,ANCHOVETA,CONGELADO,HUMANO,389.539,0,389.539,123.884
2023,ANCHOVETA,CONSERVA,HUMANO,0.0,0,0.0,11.504
2023,ANCHOVETA,FRESCO ENFRIADO,HUMANO,140.954,0,140.954,140.954
2023,ANCHOVETA,HARINA,ANIMAL,344950.643,0,344950.643,71629.131
2023,JUREL,ACEITE,ANIMAL,0.0,0,0.0,21879.879
2023,JUREL,CONGELADO,HUMANO,359620.574,0,359620.574,344885.631
2023,JUREL,CONSERVA,HUMANO,70520.31,0,70520.31,29750.48
2023,JUREL,FRESCO ENFRIADO,HUMANO,5517.658,0,5517.658,4478.287
2023,JUREL,HARINA,ANIMAL,414995.069,0,414995.069,116603.837
2023,SARDINA COMUN,ACEITE,ANIMAL,0.0,0,0.0,37993.805
2023,SARDINA COMUN,CONGELADO,HUMANO,271.774,0,271.774,76.791
2023,SARDINA COMUN,FRESCO ENFRIADO,HUMANO,92.676,0,92.676,79.778
2023,SARDINA COMUN,HARINA,ANIMAL,409665.554,0,409665.554,80146.903
2023,SARDINA ESPAÑOLA,ACEITE,ANIMAL,0.0,0,0.0,77.366
2023,SARDINA ESPAÑOLA,HARINA,ANIMAL,4191.196,0,4191.196,953.721
2024,ANCHOVETA,ACEITE,ANIMAL,0.0,0,0.0,15020.678
