domain,year,n_months_sst,sst,n_months_chl,chl,SST_c,logCHL_c
centro_sur_eez,2018,12,14.46345787173954,12,1.2587640420567534,0.09171782027953412,-0.04321730046862801
centro_sur_eez,2019,12,14.02501897847102,12,1.1096906446943648,-0.34672107298898425,-0.16926634300648669
centro_sur_eez,2020,12,14.397296050199767,12,1.3856682076725284,0.025555998739761776,0.052834862692527296
centro_sur_eez,2021,12,14.42394256945716,12,1.3676929897604706,0.052202517997155695,0.03977775031055664
centro_sur_eez,2022,12,14.253633633801995,12,1.1652199721818417,-0.11810641765801044,-0.12043773449616149
centro_sur_eez,2023,12,14.607272541040697,12,1.299194897808182,0.23553248958069162,-0.011602857775645237
centro_sur_eez,2024,12,14.245211386974486,12,1.1712467166071232,-0.12652866448551947,-0.11527886977067603
norte_chile_eez,2000,12,17.843095521736828,12,0.3490699865720203,-0.16274887932450355,-0.22377102137904215
norte_chile_eez,2001,12,17.932465269294422,12,0.36166235325618395,-0.07337913176690947,-0.1883324073126803
norte_chile_eez,2002,12,18.124971737020978,12,0.40643958965423355,0.11912733595964653,-0.07160815105994112
norte_chile_eez,2003,12,17.86097236619553,12,0.5073999184714144,-0.14487203486580214,0.15025602841863628
norte_chile_eez,2004,12,17.973484369538387,12,0.47673659356727954,-0.032360031522944865,0.08792066555056455
norte_chile_eez,2005,12,17.981884206513193,12,0.4852329690893646,-0.023960194548138247,0.10558566617746035
norte_chile_eez,2006,12,18.262656423779063,12,0.445457160530727,0.25681202271773174,0.020057623794886514
norte_chile_eez,2007,12,17.397283103460406,12,0.4228316282035445,-0.6085612976009251,-0.032069400332906395
norte_chile_eez,2008,12,18.10781134442823,12,0.4495373932112553,0.10196694336690015,0.029175580840925308
norte_chile_eez,2009,12,18.119475799366466,12,0.46710557306765466,0.11363139830513447,0.06751184057832571
norte_chile_eez,2010,12,17.488093830818002,12,0.5016273581470213,-0.5177505702433294,0.13881407152436043
norte_chile_eez,2011,12,17.668822822162475,12,0.5563559973579656,-0.337021578898856,0.24236491430737783
norte_chile_eez,2012,12,18.25312903933237,12,0.4682708252619509,0.24728463827104008,0.07000335693295523
norte_chile_eez,2013,12,17.733814575088534,12,0.45950487040565163,-0.27202982597279757,0.051106083031572824
norte_chile_eez,2014,12,17.576184140481033,12,0.48294452134199295,-0.4296602605802988,0.10085832634196434
norte_chile_eez,2015,12,18.235197319479553,12,0.45716580234475834,0.22935291841822192,0.04600267303464356
norte_chile_eez,2016,12,18.60508855454249,12,0.40265222760544894,0.599244153481159,-0.08097022747943572
norte_chile_eez,2017,12,18.160891365036147,12,0.4082130698411236,0.1550469639748151,-0.067254189975128
