model,T_cut,year,stock,censored,log_y,elpd_lfo,n_draws,lp_min,lp_max,model_label,stock_label
ind,23,2023,sardina_comun_cs,FALSE,7.6110507905938976,-0.023077958941829735,6000,-1.436322903575545,0.6779686982542698,T4b-ind,Sardina comun CS
ind,23,2023,jurel_cs,FALSE,6.730240948936029,-1.7878964605997343,6000,-7.849541067752821,-0.7792390326412826,T4b-ind,Jurel CS
omega,12,2012,anchoveta_cs,FALSE,4.9209658420986715,-1.991608635684722,6000,-19.054514209825562,0.3169900216317676,T4b-omega,Anchoveta CS
omega,12,2012,sardina_comun_cs,FALSE,7.947275520840558,0.02889031395609365,6000,-86.10344724679372,0.8027750914277897,T4b-omega,Sardina comun CS
omega,12,2012,jurel_cs,TRUE,1.0986122886681098,-18.52437558725068,6000,-94.1831542184795,-10.157043382093772,T4b-omega,Jurel CS
omega,15,2015,anchoveta_cs,FALSE,5.22929413745744,-0.15681188561346815,6000,-3.3773601303522565,0.5237585568603454,T4b-omega,Anchoveta CS
omega,15,2015,sardina_comun_cs,FALSE,7.769678522288081,0.2183978935539681,6000,-6.7939564354928255,0.7633563507089646,T4b-omega,Sardina comun CS
omega,15,2015,jurel_cs,TRUE,1.0986122886681098,-6.926066379997569,6000,-40.776148756278815,-2.874950293430053,T4b-omega,Jurel CS
omega,18,2018,anchoveta_cs,FALSE,5.8756158893357675,-0.5030417078201843,6000,-4.511811925234174,0.5455975128124771,T4b-omega,Anchoveta CS
omega,18,2018,sardina_comun_cs,FALSE,7.917412484705669,0.4220608160633468,6000,-5.34556242476032,0.8432675340670217,T4b-omega,Sardina comun CS
omega,21,2021,anchoveta_cs,FALSE,6.835216843691538,0.105155345698833,6000,-2.5120885543739364,0.5235897149201617,T4b-omega,Anchoveta CS
omega,21,2021,sardina_comun_cs,FALSE,7.5293957166407655,-0.21869977808322005,6000,-2.5153856647169146,0.6088418778177216,T4b-omega,Sardina comun CS
omega,21,2021,jurel_cs,FALSE,7.101491440591346,-1.2480634796643706,6000,-5.64018427930073,-0.6352361606339375,T4b-omega,Jurel CS
omega,23,2023,anchoveta_cs,FALSE,6.9153265444784555,0.11490979619465946,6000,-1.6677151002522952,0.6047027449303582,T4b-omega,Anchoveta CS
omega,23,2023,sardina_comun_cs,FALSE,7.6110507905938976,-0.012063064872327445,6000,-1.6726578780987,0.5912413042780501,T4b-omega,Sardina comun CS
omega,23,2023,jurel_cs,FALSE,6.730240948936029,-1.7681940885251377,6000,-6.3064877030815945,-0.7231842528401715,T4b-omega,Jurel CS
full,12,2012,anchoveta_cs,FALSE,4.9209658420986715,-1.528722509283095,6000,-19.274403187632533,0.7396169585224477,T4b-full,Anchoveta CS
full,12,2012,sardina_comun_cs,FALSE,7.947275520840558,-0.5634747894735241,6000,-834.1060240518804,1.3006006069528833,T4b-full,Sardina comun CS
full,12,2012,jurel_cs,TRUE,1.0986122886681098,-17.277806192721826,6000,-97.71406082807192,-8.735216869304992,T4b-full,Jurel CS
full,15,2015,anchoveta_cs,FALSE,5.22929413745744,0.16261768322241466,6000,-4.74938861026516,0.9218552001044066,T4b-full,Anchoveta CS
full,15,2015,sardina_comun_cs,FALSE,7.769678522288081,0.5545080807549922,6000,-2.377521570020693,1.300741171415757,T4b-full,Sardina comun CS
full,15,2015,jurel_cs,TRUE,1.0986122886681098,-7.060677387310724,6000,-41.17280646960165,-2.8777960058154104,T4b-full,Jurel CS
full,18,2018,anchoveta_cs,FALSE,5.8756158893357675,-1.0296011538692529,6000,-25.972489118230182,0.5978434463508887,T4b-full,Anchoveta CS
full,18,2018,sardina_comun_cs,FALSE,7.917412484705669,0.07894016099281131,6000,-5.93728461932474,1.1291119314516282,T4b-full,Sardina comun CS
full,21,2021,anchoveta_cs,FALSE,6.835216843691538,-0.062441923996845006,6000,-4.404254742084375,0.6944067636761608,T4b-full,Anchoveta CS
full,21,2021,sardina_comun_cs,FALSE,7.5293957166407655,0.0935532327865225,6000,-3.5400359829801453,1.0251495365226146,T4b-full,Sardina comun CS
full,21,2021,jurel_cs,FALSE,7.101491440591346,-1.2333895809320712,6000,-5.895373219699614,-0.725079013201311,T4b-full,Jurel CS
full,23,2023,anchoveta_cs,FALSE,6.9153265444784555,0.05164265690239134,6000,-3.083646214543861,0.7375412809702226,T4b-full,Anchoveta CS
full,23,2023,sardina_comun_cs,FALSE,7.6110507905938976,0.4695477521102962,6000,-1.5289064990771648,1.0668289772694277,T4b-full,Sardina comun CS
full,23,2023,jurel_cs,FALSE,6.730240948936029,-1.750723331992159,6000,-6.377073401556555,-0.7243714908420794,T4b-full,Jurel CS
