anio,nui,nm_unidad,rg,trim,mes,cd_recurso,nm_recurso,nm_grupo,cd_linea,nm_linea,tipo_mp,mp_sin_elaborar,mp_semi_elaborada,mp_total,produccion,clase_industria
2012,90157,PLANTA,1,3,7,205,ANCHOVETA,PECES,L9,HARINA,1,24638.0,0,24638.0,5436.0,ANIMAL
2021,90071,PLANTA,8,3,7,234,JUREL,PECES,L3,CONGELADO,1,5653.573999999998,0,5653.573999999998,5420.939999999999,HUMANO
2014,90204,PLANTA,15,3,7,205,ANCHOVETA,PECES,L9,HARINA,1,24631.177,0,24631.177,5417.56701,ANIMAL
2020,10985,PLANTA,8,2,6,234,JUREL,PECES,L3,CONGELADO,1,5416.200000000001,0,5416.200000000001,5416.2,HUMANO
2021,10951,PLANTA,8,1,2,234,JUREL,PECES,L3,CONGELADO,1,5414.895,0,5414.895,5414.595,HUMANO
2017,90071,PLANTA,8,2,5,234,JUREL,PECES,L2,FRESCO ENFRIADO,1,5394.0,0,5394.0,5412.0,HUMANO
2024,90204,PLANTA,15,4,10,205,ANCHOVETA,PECES,L9,HARINA,1,24837.444,0,24837.444,5377.478,ANIMAL
2015,90204,PLANTA,15,3,8,205,ANCHOVETA,PECES,L9,HARINA,1,23696.339,0,23696.339,5377.28,ANIMAL
2022,90073,PLANTA,8,4,12,234,JUREL,PECES,L3,CONGELADO,1,5431.22,0,5431.22,5373.86,HUMANO
2021,10951,PLANTA,8,4,12,234,JUREL,PECES,L3,CONGELADO,1,5362.679999999999,0,5362.679999999999,5362.679999999999,HUMANO
2018,90158,PLANTA,1,2,4,205,ANCHOVETA,PECES,L9,HARINA,1,24945.913000000004,0,24945.913000000004,5347.621,ANIMAL
2016,90071,PLANTA,8,1,1,234,JUREL,PECES,L2,FRESCO ENFRIADO,1,5335.0,0,5335.0,5341.0,HUMANO
2024,13476,PLANTA,8,2,4,234,JUREL,PECES,L9,HARINA,1,19174.806,0,19174.806,5335.275,ANIMAL
2024,14815,PLANTA,8,4,12,234,JUREL,PECES,L9,HARINA,1,23853.998,0,23853.998,5305.349,ANIMAL
2021,4366,PLANTA,8,4,12,234,JUREL,PECES,L3,CONGELADO,1,5412.570000000001,0,5412.570000000001,5302.039999999999,HUMANO
2018,90158,PLANTA,1,4,10,205,ANCHOVETA,PECES,L9,HARINA,1,25034.041999999998,0,25034.041999999998,5295.8460000000005,ANIMAL
2020,90071,PLANTA,8,1,2,234,JUREL,PECES,L3,CONGELADO,1,5585.695000000001,0,5585.695000000001,5295.78,HUMANO
2012,15219,PLANTA,8,1,2,234,JUREL,PECES,L3,CONGELADO,1,5294.0,0,5294.0,5294.0,HUMANO
2023,90204,PLANTA,15,4,11,205,ANCHOVETA,PECES,L9,HARINA,1,23879.209,0,23879.209,5290.488,ANIMAL
2021,90071,PLANTA,8,2,5,234,JUREL,PECES,L3,CONGELADO,1,5617.7880000000005,0,5617.7880000000005,5269.6,HUMANO
2013,90158,PLANTA,1,4,11,205,ANCHOVETA,PECES,L9,HARINA,1,25035.659000000003,0,25035.659000000003,5264.246400000001,ANIMAL
2017,90071,PLANTA,8,1,3,234,JUREL,PECES,L2,FRESCO ENFRIADO,1,5255.0,0,5255.0,5258.0,HUMANO
2024,15219,PLANTA,8,1,3,234,JUREL,PECES,L3,CONGELADO,1,5256.14,0,5256.14,5256.14,HUMANO
2019,10951,PLANTA,8,2,4,234,JUREL,PECES,L3,CONGELADO,1,5244.859999999999,0,5244.859999999999,5235.839999999998,HUMANO
2017,90158,PLANTA,1,1,3,205,ANCHOVETA,PECES,L9,HARINA,1,24897.0,0,24897.0,5233.0,ANIMAL
2018,90071,PLANTA,8,2,5,234,JUREL,PECES,L2,FRESCO ENFRIADO,1,5465.109889,0,5465.109889,5207.344000000002,HUMANO
2022,90071,PLANTA,8,4,12,234,JUREL,PECES,L3,CONGELADO,1,5353.73,0,5353.73,5205.5,HUMANO
2017,18478,PLANTA,1,2,4,205,ANCHOVETA,PECES,L9,HARINA,1,22624.0,0,22624.0,5200.0,ANIMAL
2018,15219,PLANTA,8,1,1,234,JUREL,PECES,L3,CONGELADO,1,5195.605000000001,0,5195.605000000001,5192.280000000001,HUMANO
2017,15219,PLANTA,8,3,7,234,JUREL,PECES,L3,CONGELADO,1,5193.0,0,5193.0,5192.0,HUMANO
2024,90204,PLANTA,15,4,11,205,ANCHOVETA,PECES,L9,HARINA,1,23010.125,0,23010.125,5177.329,ANIMAL
2022,10951,PLANTA,8,3,7,234,JUREL,PECES,L3,CONGELADO,1,5193.542,0,5193.542,5168.79,HUMANO
2019,15219,PLANTA,8,2,4,234,JUREL,PECES,L3,CONGELADO,1,5275.720000000001,0,5275.720000000001,5155.78,HUMANO
2018,10985,PLANTA,8,3,7,234,JUREL,PECES,L3,CONGELADO,1,5148.84,0,5148.84,5148.84,HUMANO
2019,90158,PLANTA,1,2,6,205,ANCHOVETA,PECES,L9,HARINA,1,24014.78,0,24014.78,5147.32,ANIMAL
2018,4366,PLANTA,8,1,3,234,JUREL,PECES,L3,CONGELADO,1,5269.343999999999,0,5269.343999999999,5142.300000000001,HUMANO
2018,10985,PLANTA,8,2,6,234,JUREL,PECES,L3,CONGELADO,1,5133.96,0,5133.96,5133.96,HUMANO
2020,4366,PLANTA,8,4,12,234,JUREL,PECES,L3,CONGELADO,1,5231.300000000001,0,5231.300000000001,5128.74,HUMANO
2022,13476,PLANTA,8,1,1,234,JUREL,PECES,L9,HARINA,1,18601.101,0,18601.101,5121.296,ANIMAL
2017,15232,PLANTA,2,1,2,205,ANCHOVETA,PECES,L9,HARINA,1,23292.0,0,23292.0,5118.0,ANIMAL
2018,15232,PLANTA,2,4,11,205,ANCHOVETA,PECES,L9,HARINA,1,22703.229000000003,0,22703.229000000003,5097.106,ANIMAL
2019,10985,PLANTA,8,2,5,234,JUREL,PECES,L3,CONGELADO,1,5092.890000000001,0,5092.890000000001,5092.380000000001,HUMANO
2021,90204,PLANTA,15,2,4,205,ANCHOVETA,PECES,L9,HARINA,1,22016.634999999995,0,22016.634999999995,5089.012,ANIMAL
2017,10985,PLANTA,8,2,5,234,JUREL,PECES,L3,CONGELADO,1,5137.0,0,5137.0,5077.0,HUMANO
2017,10985,PLANTA,8,3,7,234,JUREL,PECES,L3,CONGELADO,1,5067.0,0,5067.0,5067.0,HUMANO
2024,14815,PLANTA,8,1,1,234,JUREL,PECES,L9,HARINA,1,20200.367,0,20200.367,5060.426,ANIMAL
2019,10951,PLANTA,8,1,3,234,JUREL,PECES,L3,CONGELADO,1,5053.48,0,5053.48,5051.52,HUMANO
2019,4366,PLANTA,8,3,7,234,JUREL,PECES,L3,CONGELADO,1,5132.38,0,5132.38,5050.66,HUMANO
2021,90204,PLANTA,15,4,12,205,ANCHOVETA,PECES,L9,HARINA,1,22026.701999999997,0,22026.701999999997,5033.294,ANIMAL
2014,15219,PLANTA,8,1,1,234,JUREL,PECES,L3,CONGELADO,1,5024.827858,0,5024.827858,5024.700000000001,HUMANO
2012,90205,PLANTA,15,2,6,205,ANCHOVETA,PECES,L9,HARINA,1,20668.0,0,20668.0,5015.0,ANIMAL
2022,10951,PLANTA,8,2,6,234,JUREL,PECES,L3,CONGELADO,1,5005.717,0,5005.717,4974.92,HUMANO
2020,90071,PLANTA,8,2,4,234,JUREL,PECES,L3,CONGELADO,1,5255.580999999999,0,5255.580999999999,4969.76,HUMANO
2017,90157,PLANTA,1,2,4,205,ANCHOVETA,PECES,L9,HARINA,1,24586.0,0,24586.0,4968.0,ANIMAL
2020,90204,PLANTA,15,4,10,205,ANCHOVETA,PECES,L9,HARINA,1,21355.934999999998,0,21355.934999999998,4957.772,ANIMAL
2018,4366,PLANTA,8,4,12,234,JUREL,PECES,L3,CONGELADO,1,5043.192,0,5043.192,4945.48,HUMANO
2021,90071,PLANTA,8,1,2,234,JUREL,PECES,L3,CONGELADO,1,5100.138999999999,0,5100.138999999999,4941.913999999999,HUMANO
2022,15232,PLANTA,2,2,5,205,ANCHOVETA,PECES,L9,HARINA,1,21839.966,0,21839.966,4932.589,ANIMAL
2024,10951,PLANTA,8,1,3,234,JUREL,PECES,L3,CONGELADO,1,4942.4,0,4942.4,4927.04,HUMANO
2017,18478,PLANTA,1,1,3,205,ANCHOVETA,PECES,L9,HARINA,1,21962.0,0,21962.0,4915.0,ANIMAL
2017,4366,PLANTA,8,2,6,234,JUREL,PECES,L3,CONGELADO,1,5040.0,0,5040.0,4912.0,HUMANO
2023,10951,PLANTA,8,2,6,234,JUREL,PECES,L3,CONGELADO,1,4955.889,0,4955.889,4907.97,HUMANO
2012,13476,PLANTA,8,1,3,276,SARDINA COMUN,PECES,L9,HARINA,1,27952.0,0,27952.0,4905.0,ANIMAL
2019,18478,PLANTA,1,2,5,205,ANCHOVETA,PECES,L9,HARINA,1,21164.26,0,21164.26,4899.96,ANIMAL
2022,4366,PLANTA,8,4,12,234,JUREL,PECES,L3,CONGELADO,1,4982.17,0,4982.17,4895.82,HUMANO
2018,90158,PLANTA,1,2,5,205,ANCHOVETA,PECES,L9,HARINA,1,22771.650000000005,0,22771.650000000005,4875.205000000001,ANIMAL
2024,14815,PLANTA,8,2,4,234,JUREL,PECES,L8,CONSERVA,1,12007.696,0,12007.696,4865.515,HUMANO
2019,90204,PLANTA,15,2,5,205,ANCHOVETA,PECES,L9,HARINA,1,22514.24,0,22514.24,4862.970000000001,ANIMAL
2019,4366,PLANTA,8,2,5,234,JUREL,PECES,L3,CONGELADO,1,4935.640000000001,0,4935.640000000001,4848.5,HUMANO
2022,15232,PLANTA,2,2,4,205,ANCHOVETA,PECES,L9,HARINA,1,21302.113,0,21302.113,4840.043,ANIMAL
2014,15219,PLANTA,8,1,3,234,JUREL,PECES,L3,CONGELADO,1,4823.374784000001,0,4823.374784000001,4823.280000000001,HUMANO
2023,90071,PLANTA,8,1,1,234,JUREL,PECES,L3,CONGELADO,1,4963.658,0,4963.658,4814.48,HUMANO
2018,15232,PLANTA,2,4,10,205,ANCHOVETA,PECES,L9,HARINA,1,20880.652000000002,0,20880.652000000002,4797.900000000001,ANIMAL
2014,18478,PLANTA,1,4,10,205,ANCHOVETA,PECES,L9,HARINA,1,18827.261,0,18827.261,4795.349999999999,ANIMAL
2018,15232,PLANTA,2,2,6,205,ANCHOVETA,PECES,L9,HARINA,1,20394.992,0,20394.992,4791.817999999999,ANIMAL
2018,90204,PLANTA,15,3,8,205,ANCHOVETA,PECES,L9,HARINA,1,20725.555,0,20725.555,4770.531999999999,ANIMAL
2020,90071,PLANTA,8,2,5,234,JUREL,PECES,L3,CONGELADO,1,5035.465,0,5035.465,4760.16,HUMANO
2022,10951,PLANTA,8,4,12,234,JUREL,PECES,L3,CONGELADO,1,4753.83,0,4753.83,4753.83,HUMANO
2023,90204,PLANTA,15,4,12,205,ANCHOVETA,PECES,L9,HARINA,1,20858.294,0,20858.294,4710.257,ANIMAL
2020,13476,PLANTA,8,1,2,234,JUREL,PECES,L9,HARINA,1,17955.32,0,17955.32,4706.777,ANIMAL
2018,4366,PLANTA,8,1,2,234,JUREL,PECES,L3,CONGELADO,1,4810.169000000001,0,4810.169000000001,4705.900000000001,HUMANO
2012,15232,PLANTA,2,4,11,205,ANCHOVETA,PECES,L9,HARINA,1,21914.0,0,21914.0,4703.0,ANIMAL
2012,90204,PLANTA,15,4,11,205,ANCHOVETA,PECES,L9,HARINA,1,20377.0,0,20377.0,4700.0,ANIMAL
2016,90073,PLANTA,8,1,3,234,JUREL,PECES,L2,FRESCO ENFRIADO,1,4688.0,0,4688.0,4687.0,HUMANO
2017,13476,PLANTA,8,1,3,276,SARDINA COMUN,PECES,L9,HARINA,1,23742.0,0,23742.0,4678.0,ANIMAL
2024,90204,PLANTA,15,4,12,205,ANCHOVETA,PECES,L9,HARINA,1,22738.735,0,22738.735,4674.304,ANIMAL
2021,10973,PLANTA,8,2,4,276,SARDINA COMUN,PECES,L9,HARINA,1,21089.731,0,21089.731,4661.841,ANIMAL
2022,90073,PLANTA,8,3,8,234,JUREL,PECES,L3,CONGELADO,1,4654.52,0,4654.52,4654.52,HUMANO
2023,90073,PLANTA,8,4,11,234,JUREL,PECES,L3,CONGELADO,1,4706.29,0,4706.29,4645.88,HUMANO
2022,90204,PLANTA,15,4,12,205,ANCHOVETA,PECES,L9,HARINA,1,20386.961,0,20386.961,4645.01,ANIMAL
2017,15219,PLANTA,8,2,5,234,JUREL,PECES,L3,CONGELADO,1,4649.0,0,4649.0,4645.0,HUMANO
2020,10985,PLANTA,8,1,1,234,JUREL,PECES,L3,CONGELADO,1,4636.0,0,4636.0,4636.0,HUMANO
2021,90071,PLANTA,8,1,3,234,JUREL,PECES,L8,CONSERVA,1,11619.118,0,11619.118,4624.448,HUMANO
