year,zone,species_raw,mp_total_t,stock_id
2018,NORTE,SARDINA ESPAÑOLA,1648.9389999999999,sardina_espanola_norte
2019,CENTRO_SUR,ANCHOVETA,156671.32,anchoveta_cs
2019,CENTRO_SUR,JUREL,419079.988,jurel
2019,CENTRO_SUR,SARDINA COMUN,319463.749,sardina_comun_cs
2019,NORTE,ANCHOVETA,583325.52,anchoveta_norte
2019,NORTE,JUREL,24201.56,jurel
2019,NORTE,SARDINA ESPAÑOLA,1515.3600000000001,sardina_espanola_norte
2019,OTRA,JUREL,1.84,jurel
2020,CENTRO_SUR,ANCHOVETA,167312.046,anchoveta_cs
2020,CENTRO_SUR,JUREL,496583.511,jurel
2020,CENTRO_SUR,SARDINA COMUN,261964.519,sardina_comun_cs
2020,CENTRO_SUR,SARDINA ESPAÑOLA,0.0,sardina_espanola_norte
2020,NORTE,ANCHOVETA,332424.757,anchoveta_norte
2020,NORTE,JUREL,57478.406,jurel
2020,NORTE,SARDINA ESPAÑOLA,3530.603,sardina_espanola_norte
2020,OTRA,JUREL,0.989,jurel
2021,CENTRO_SUR,ANCHOVETA,174741.519,anchoveta_cs
2021,CENTRO_SUR,JUREL,525015.703,jurel
2021,CENTRO_SUR,SARDINA COMUN,343482.98299999995,sardina_comun_cs
2021,CENTRO_SUR,SARDINA ESPAÑOLA,0.0,sardina_espanola_norte
2021,NORTE,ANCHOVETA,422624.887,anchoveta_norte
2021,NORTE,JUREL,99820.85800000001,jurel
2021,NORTE,SARDINA ESPAÑOLA,1301.781,sardina_espanola_norte
2021,OTRA,ANCHOVETA,8.031,anchoveta_other
2021,OTRA,JUREL,66.197,jurel
2022,CENTRO_SUR,ANCHOVETA,217639.465,anchoveta_cs
2022,CENTRO_SUR,JUREL,613005.018,jurel
2022,CENTRO_SUR,SARDINA COMUN,222545.005,sardina_comun_cs
2022,CENTRO_SUR,SARDINA ESPAÑOLA,0.0,sardina_espanola_norte
2022,NORTE,ANCHOVETA,520436.616,anchoveta_norte
2022,NORTE,JUREL,104229.141,jurel
2022,NORTE,SARDINA ESPAÑOLA,2675.674,sardina_espanola_norte
2022,OTRA,JUREL,0.548,jurel
2023,CENTRO_SUR,ANCHOVETA,195433.569,anchoveta_cs
2023,CENTRO_SUR,JUREL,704284.942,jurel
2023,CENTRO_SUR,SARDINA COMUN,410030.004,sardina_comun_cs
2023,NORTE,ANCHOVETA,150047.567,anchoveta_norte
2023,NORTE,JUREL,146366.496,jurel
2023,NORTE,SARDINA ESPAÑOLA,4191.196,sardina_espanola_norte
2023,OTRA,JUREL,2.173,jurel
2024,CENTRO_SUR,ANCHOVETA,120714.005,anchoveta_cs
2024,CENTRO_SUR,JUREL,880493.08,jurel
2024,CENTRO_SUR,SARDINA COMUN,129095.478,sardina_comun_cs
2024,CENTRO_SUR,SARDINA ESPAÑOLA,0.0,sardina_espanola_norte
2024,NORTE,ANCHOVETA,179435.933,anchoveta_norte
2024,NORTE,JUREL,198000.764,jurel
2024,NORTE,SARDINA ESPAÑOLA,9722.988,sardina_espanola_norte
2024,OTRA,JUREL,8.352,jurel
